
8/21/12,Clippers,,Chris Paul,surgery on right thumb to repair torn ligament (out indefinitely)
9/7/12,Knicks,,Ronnie Brewer,surgery on left knee to repair torn meniscus (out indefinitely)
9/11/12,Blazers,,Elliot Williams,torn left Achilles tendon (out indefinitely)
9/14/12,Blazers,,Elliot Williams,surgery to repair torn left Achilles tendon (out for season)
9/20/12,Suns,,Channing Frye,enlarged heart (out indefinitely)
9/24/12,Lakers,,Steve Blake,foot injury (out indefinitely)
9/26/12,Grizzlies,,Darrell Arthur,fractured fibula in left leg (out indefinitely)
9/28/12,Wizards,,John Wall ,stress fracture in left kneecap (out indefinitely)
10/1/12,76ers,,Andrew Bynum,rehab on knee (out indefinitely)
10/10/12,Knicks,,Chris Smith ,surgery on knee (out indefinitely)
10/17/12,Timberwolves,,Kevin Love,fractured right hand (out indefinitely)
10/19/12,Mavericks,,Dirk Nowitzki,arthroscopic surgery on right knee (out indefinitely)
10/21/12,Knicks,,Amar'e Stoudemire,ruptured cyst in left knee (out indefinitely)
10/30/12,Bulls,,Derrick Rose,recovering from surgery on left knee to repair torn ACL (out indefinitely)
10/30/12,Cavaliers,,Jeremy Pargo,placed on IL
10/30/12,Cavaliers,,Luke Harangody,placed on IL
10/30/12,Celtics,,Darko Milicic,back spasms (DTD)
10/30/12,Celtics,,Fab Melo,placed on IL
10/30/12,Clippers,,Grant Hill,bone bruise in right knee (DTD)
10/30/12,Heat,,Dexter Pittman,placed on IL with strained quadricep
10/30/12,Heat,,Joel Anthony,placed on IL with strained left hamstring
10/30/12,Knicks,,Amar'e Stoudemire,arthroscopic surgery on left knee (out indefinitely) (date approximate)
10/30/12,Knicks,,Iman Shumpert,recovering from surgery on left knee to repair torn lateral meniscus / ACL (CBC) (out indefinitely)
10/30/12,Lakers,,Darius Johnson-Odom,placed on IL
10/30/12,Lakers,,Earl Clark,placed on IL with strained left groin
10/30/12,Mavericks,,Chris Kaman,placed on IL with strained right calf
10/30/12,Mavericks,,Dirk Nowitzki,placed on IL recovering from arthroscopic surgery on right knee
10/30/12,Mavericks,,Jared Cunningham,sprained thumb (DTD)
10/30/12,Nuggets,,Julyan Stone,surgery on hip (out indefinitely)
10/30/12,Pacers,,Danny Granger,sore left knee (out indefinitely)
10/30/12,Spurs,,Manu Ginobili,back spasms (DTD)
10/30/12,Wizards,,John Wall ,placed on IL with strained left knee
10/30/12,Wizards,,Kevin Seraphin,placed on IL with strained right calf
10/30/12,Wizards,,Nene Hilario ,placed on IL with plantar fasciitis in left foot
10/30/12,Celtics,,Avery Bradley,surgery on left shoulder (out indefinitely)
10/30/12,Celtics,,Avery Bradley,placed on IL recovering from surgery on left shoulder
10/31/12,76ers,,Andrew Bynum,placed on IL with rehab on right knee (out for season)
10/31/12,76ers,,Kwame Brown,strained left calf (DNP)
10/31/12,Blazers,,Elliot Williams,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season)
10/31/12,Blazers,,Ronnie Price,placed on IL with sprained right ankle
10/31/12,Bulls,,Derrick Rose,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
10/31/12,Clippers,,Chauncey Billups,placed on IL recovering from surgery to repair turn left Achilles tendon
10/31/12,Clippers,,Grant Hill,placed on IL with bone bruise in right knee
10/31/12,Clippers,,Trey Thompkins,placed on IL with bone bruise in left knee
10/31/12,Grizzlies,,Darrell Arthur,placed on IL with fractured bone in left leg
10/31/12,Hornets,,Eric Gordon,placed on IL with sore left knee / right knee injury
10/31/12,Jazz,,Earl Watson,placed on IL with rehab on right (P) / left (CBC) knee
10/31/12,Kings,,Tyler Honeycutt,right leg injury (DTD)
