Date,Team,Acquired,Relinquished,Notes
2017-01-01,Heat,,Hassan Whiteside,right eye injury (DTD)
2017-01-01,Heat,,Justise Winslow,torn labrum in right shoulder (out for season)
2017-01-01,Jazz,,George Hill,placed on IL
2017-01-01,Kings,,Ty Lawson,sinus fracture (DTD)
2017-01-01,Lakers,,Ron Artest,placed on IL
2017-01-01,Lakers,Ivica Zubac,,activated from IL
2017-01-01,Magic,,Stephen Zimmerman Jr.,placed on IL
2017-01-01,Magic,Arinze Onuaku,,"""activated"""
2017-01-01,Pistons,,Aron Baynes,sprained left ankle (DTD)
2017-01-01,Pistons,Marcus Morris,,returned to lineup
2017-01-01,Spurs,Kawhi Leonard,,returned to lineup
2017-01-02,Bulls,,Dwyane Wade,placed on IL with swelling in knee
2017-01-02,Bulls,Paul Zipser,,activated from IL
2017-01-02,Celtics,,Tyler Zeller,sinus ailment (DTD)
2017-01-02,Hornets,,Cody Zeller,placed on IL with concussion (DTD)
2017-01-02,Hornets,Christian Wood,,activated from IL
2017-01-02,Jazz,Alec Burks,,activated from IL
2017-01-02,Knicks,,Marshall Plumlee,placed on IL
2017-01-02,Knicks,Courtney Lee,,returned to lineup
2017-01-02,Knicks,Kyle O'Quinn,,activated from IL
2017-01-02,Magic,Damjan Rudez,,returned to lineup
2017-01-02,Nets,Joe Harris,,returned to lineup
2017-01-02,Nuggets,,Darrell Arthur,placed on IL with sore left knee
2017-01-02,Nuggets,,Kenneth Faried,placed on IL with sore lower back
2017-01-02,Nuggets,Alonzo Gee,,activated from IL
2017-01-02,Nuggets,Malik Beasley,,activated from IL
2017-01-02,Warriors,,Damian Jones,placed on IL
2017-01-02,Warriors,,JaVale McGee,illness (DTD)
2017-01-02,Warriors,Anderson Varejao,,activated from IL
2017-01-02,Wizards,Bradley Beal,,returned to lineup
2017-01-02,Jazz,,Joel Bolomboy,placed on IL
2017-01-03,76ers,Jahlil Okafor,,returned to lineup
2017-01-03,Bulls,,Denzel Valentine,sore/sprained left ankle (DTD)
2017-01-03,Celtics,,James Young,placed on IL with sprained right ankle
2017-01-03,Celtics,,Tyler Zeller,placed on IL with illness
2017-01-03,Celtics,Avery Bradley,,returned to lineup
2017-01-03,Celtics,Demetrius Jackson,,activated from IL
2017-01-03,Celtics,Jordan Mickey,,activated from IL
2017-01-03,Heat,,James Johnson,illness (DTD)
2017-01-03,Heat,,Tyler Johnson,migraine headache (DTD)
2017-01-03,Heat,Goran Dragic,,returned to lineup
2017-01-03,Kings,,Giorgios Papagiannis ,placed on IL
2017-01-03,Kings,,Skal Labissiere,placed on IL
2017-01-03,Kings,Arron Afflalo,,activated from IL
2017-01-03,Mavericks,,A.J. Hammons,placed on IL
2017-01-03,Mavericks,Andrew Bogut,,activated from IL
2017-01-03,Nuggets,,Alonzo Gee,placed on IL
2017-01-03,Nuggets,Darrell Arthur,,activated from IL
2017-01-03,Pelicans,,Quincy Pondexter,arthroscopic surgery on left knee (out for season)
2017-01-03,Pistons,,Michael Gbinije,left forearm injury (DTD)
2017-01-03,Suns,,Brandon Knight,sprained right wrist / migraine headache (DTD)
2017-01-03,Kings,Rudy Gay,,activated from IL
2017-01-03,Kings,,Rudy Gay,strained right hip flexor (DTD)
2017-01-04,Bucks,Miles Plumlee,,returned to lineup
2017-01-04,Bulls,,Denzel Valentine,placed on IL with sore/sprained left ankle
2017-01-04,Bulls,Dwyane Wade,,activated from IL
2017-01-04,Cavaliers,,Kevin Love,illness (DTD)
2017-01-04,Cavaliers,Mike Dunleavy Jr.,,returned to lineup
2017-01-04,Grizzlies,,JaMychal Green,fractured facial bone (DTD)
2017-01-04,Heat,,Josh McRoberts,placed on IL with stress fracture in left foot
2017-01-04,Heat,Dion Waiters,,activated from IL
2017-01-04,Heat,James Johnson,,returned to lineup
2017-01-04,Heat,Tyler Johnson,,returned to lineup
2017-01-04,Hornets,Marco Belinelli,,activated from IL
2017-01-04,Kings,Ty Lawson,,returned to lineup
2017-01-04,Knicks,Marshall Plumlee,,activated from IL
2017-01-04,Magic,Evan Fournier,,activated from IL
2017-01-04,Nets,,Rondae Hollis-Jefferson,right hip tendinitis (DTD)
2017-01-04,Warriors,,James McAdoo ,placed on IL
2017-01-04,Warriors,Patrick McCaw,,activated from IL
2017-01-04,76ers,Richaun Holmes,,returned to lineup
2017-01-04,Grizzlies,Troy Williams,,activated from IL
2017-01-04,Knicks,,Maurice N'dour,placed on IL
2017-01-04,Magic,,C.J. Wilcox,placed on IL
